key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,frech,1.9625,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,9,0,9,0,1,,,,,,,
,,,,,,,,fresh,1.9331,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,10,0,10,0,1,,,,,,,
,,,,,,,,mint,9.8127,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,11,0,11,0,1,,,,,,,
,,,,,,,,gum,4.9597,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,12,0,12,0,1,,,,,,,
,,,,,,,,toothpaste,4.6794,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,13,0,13,0,1,,,,,,,
,,,,,,,,calm,8.9614,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,14,0,14,0,1,,,,,,,
,,,,,,,,,9.0789,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,15,0,15,0,1,,,,,,,
,,,,,,,,,,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,,,,,,space,0.503,0,0,0,3,1
,,,,,,,, neon,7.5264,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,neon party,4.6805,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,make up,4.3793,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,noise ,2.8787,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,drinks,7.5977,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,poisson,5.362,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,4.1792,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,,,,,,space,2.525,0,1,1,2,1
,,,,,,,, polite,24.3706,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,0,0,0,0,1,,,,,,,
,,,,,,,,smart,8.1282,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,information,3.2129,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,technology,2.9649,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,eengineer,3.0797,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,water,7.1143,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,ocean,5.8116,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,sea animals,6.2626,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,waves,1.7629,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,8,0,8,0,1,,,,,,,
,,,,,,,,cold,1.4983,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,9,0,9,0,1,,,,,,,
,,,,,,,,rain,5.5923,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,10,0,10,0,1,,,,,,,
,,,,,,,,blueberries,4.7629,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,11,0,11,0,1,,,,,,,
,,,,,,,,sadness,5.3956,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,12,0,12,0,1,,,,,,,
,,,,,,,,lonelyness,8.4289,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,13,0,13,0,1,,,,,,,
,,,,,,,,,2.9792,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,14,0,14,0,1,,,,,,,
,,,,,,,,,,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,,,,,,space,1.3315,0,2,2,5,1
,,,,,,,, blood,6.4091,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,power,2.8443,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,wound,2.58,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,erythrocytes,26.1096,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,killer,3.4957,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,ketchup,5.0313,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,bondage,4.2793,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,passion,1.9302,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,romance,2.4818,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,8,0,8,0,1,,,,,,,
,,,,,,,,red roses,3.7649,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,9,0,9,0,1,,,,,,,
,,,,,,,,petals,1.5635,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,10,0,10,0,1,,,,,,,
,,,,,,,,lipstick,11.563,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,11,0,11,0,1,,,,,,,
,,,,,,,,kisses,6.6126,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,12,0,12,0,1,,,,,,,
,,,,,,,,passion,1.5468,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,13,0,13,0,1,,,,,,,
,,,,,,,,period,6.9807,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,14,0,14,0,1,,,,,,,
